1	0	-2	1.4632971213167E-01
2	0	-1	-8.4548187169114E-01
3	0	0	-3.7563603672040E+00
4	0	1	3.3855169168385E+00
5	0	2	-9.5791963387872E-01
6	0	3	1.5772038513228E-01
7	0	4	-1.6616417199501E-02
8	0	5	8.1214629983568E-04
9	1	-9	2.8319080123804E-04
10	1	-7	-6.0706301565874E-04
11	1	-1	-1.8990068218419E-02
12	1	0	-3.2529748770505E-02
13	1	1	-2.1841717175414E-02
14	1	3	-5.2838357969930E-05
15	2	-3	-4.7184321073267E-04
16	2	0	-3.0001780793026E-04
17	2	1	4.7661393906987E-05
18	2	3	-4.4141845330846E-06
19	2	17	-7.2694996297594E-16
20	3	-4	-3.1679644845054E-05
21	3	0	-2.8270797985312E-06
22	3	6	-8.5205128120103E-10
23	4	-5	-2.2425281908000E-06
24	4	-2	-6.5171222895601E-07
25	4	10	-1.4341729937924E-13
26	5	-8	-4.0516996860117E-07
27	8	-11	-1.2734301741641E-09
28	8	-6	-1.7424871320634E+09
29	21	29	-6.8762131295531E-19
30	23	-31	1.4478307828521E-20
31	29	-38	2.6335781662795E-23
32	30	-39	-1.1947622640071E-23
33	31	-40	1.8228094581404E-24
34	32	-41	-9.3537087292458E-26
